Unnamed: 0,2024-03-04,2024-03-05
lab,0.7,0.698
Hung Parliament: Largest Party lab,0.234,0.238
Hung Parliament: Largest Party con,0.055,0.054
con,0.011,0.01
conSeats,200.0,193.0
labSeats,354.0,353.0
libSeats,25.0,31.0
refSeats,0.0,0.0
natSeats,52.0,52.0
othSeats,1.0,3.0
Con,0.248,0.248
Lab,0.437,0.437
Lib Dems,0.092,0.092
SNP,0.03,0.03
Green,0.057,0.057
Reform,0.111,0.111
Others,0.027,0.027
